ShareCode,MA_std,RSI,Price/BB_up,Price/BB_down,Price/KijunSen,Price/TenkanSen,Price/MA_20,Price/MA_50,Price/MA_100,San,Nganh,So_huu_nha_nuoc,So_huu_nuoc_ngoai,DTT_2018,TT_DTT,EPS_2018,LNST_2018,TT_LNST,TTS_2018,TT_TTS,VCSH_2018,EBITDA,EBITDA_per,ROE,ROA,EV,EV/EBITDA,P/E,P/B,Book_value,Market_size,TTS/VCSH
DVP,> 0.7,30 => 70,<= 0.9,1 => 1.1,<= 1,> 1,<= 1,<= 1,>= 1,HOSE,Vận tải L3,0.51,0.1361,350 ty => 1150 ty,<= 0,> 2500,> 65 ty,<= 0,450 ty => 1450 ty,0 => 0.1,> 600 ty,> 140 ty,> 0.2,> 0.2,> 0.1,> 750 ty,4 => 9,5 => 8,> 1.5,> 550 ty,> 600 ty,<= 1.5
DXG,> 0.7,> 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,>= 1,>= 1,HOSE,Bất động sản L3,0.0,0.4561,> 1150 ty,> 0.1,> 2500,> 65 ty,> 0.2,> 1450 ty,> 0.1,> 600 ty,> 140 ty,> 0.2,> 0.2,> 0.1,> 750 ty,4 => 9,5 => 8,0.8 => 1.5,> 550 ty,> 600 ty,2 => 3
DXV,<= 0.3,> 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,>= 1,>= 1,HOSE,Xây dựng và Vật liệu L3,0.6580505051,0.0042,115 ty => 350 ty,<= 0,<= 250,<= 2 ty,<= 0,<= 170 ty,<= 0,70 ty => 200 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,40 ty => 180 ty,> 9,> 18,<= 0.5,70 ty => 190 ty,<= 50 ty,<= 1.5
PVP,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,>= 1,>= 1,UPCOM,Vận tải L3,0.649164485,0.0042418656,> 1150 ty,> 0.1,1000 => 2500,> 65 ty,<= 0,> 1450 ty,<= 0,> 600 ty,> 140 ty,> 0.2,0.1 => 0.2,0.05 => 0.1,> 750 ty,1 => 4,<= 5,0.5 => 0.8,> 550 ty,> 600 ty,2 => 3
CDH,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.575217,0.0,<= 115 ty,> 0.1,1000 => 2500,2 ty => 13 ty,0 => 0.2,<= 170 ty,0 => 0.1,<= 70 ty,<= 8 ty,<= 0.05,0.05 => 0.1,0.01 => 0.05,<= 40 ty,4 => 9,<= 5,<= 0.5,<= 70 ty,<= 50 ty,1.5 => 2
VE1,0.3 => 0.7,30 => 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,<= 1,<= 1,HNX,Xây dựng và Vật liệu L3,0.0,0.2997,<= 115 ty,> 0.1,<= 250,<= 2 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,<= 40 ty,<= 1,<= 5,0.8 => 1.5,<= 70 ty,50 ty => 150 ty,<= 1.5
VE2,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,HNX,Xây dựng và Vật liệu L3,0.3145496739,0.0078,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,<= 40 ty,> 9,> 18,0.8 => 1.5,<= 70 ty,<= 50 ty,<= 1.5
CDO,<= 0.3,30 => 70,0.9 => 1,> 1.1,<= 1,> 1,>= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.0,0.0012016197,<= 115 ty,0 => 0.1,<= 250,<= 2 ty,<= 0,170 ty => 450 ty,0 => 0.1,200 ty => 600 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,40 ty => 180 ty,<= 1,<= 5,<= 0.5,190 ty => 550 ty,<= 50 ty,<= 1.5
CDN,> 0.7,30 => 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,>= 1,>= 1,HNX,Vận tải L3,0.75,0.213,350 ty => 1150 ty,> 0.1,1000 => 2500,> 65 ty,0 => 0.2,> 1450 ty,0 => 0.1,> 600 ty,> 140 ty,> 0.2,0.1 => 0.2,0.05 => 0.1,> 750 ty,4 => 9,8 => 18,> 1.5,> 550 ty,> 600 ty,<= 1.5
HLR,<= 0.3,No info,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Vận tải L3,0.51,0.0023636364,115 ty => 350 ty,0 => 0.1,1000 => 2500,2 ty => 13 ty,0 => 0.2,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,0.1 => 0.2,0.01 => 0.05,40 ty => 180 ty,> 9,8 => 18,0.8 => 1.5,<= 70 ty,<= 50 ty,2 => 3
HLS,> 0.7,30 => 70,<= 0.9,> 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Điện tử & Thiết bị điện L3,0.0,0.0,<= 115 ty,<= 0,1000 => 2500,13 ty => 65 ty,<= 0,<= 170 ty,<= 0,70 ty => 200 ty,8 ty => 36 ty,> 0.2,0.1 => 0.2,> 0.1,40 ty => 180 ty,1 => 4,5 => 8,0.8 => 1.5,70 ty => 190 ty,50 ty => 150 ty,<= 1.5
HFS,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Hàng cá nhân L3,0.49028,0.0,115 ty => 350 ty,<= 0,250 => 1000,2 ty => 13 ty,> 0.2,170 ty => 450 ty,> 0.1,70 ty => 200 ty,8 ty => 36 ty,0.05 => 0.1,0.05 => 0.1,0.01 => 0.05,40 ty => 180 ty,4 => 9,8 => 18,0.8 => 1.5,70 ty => 190 ty,50 ty => 150 ty,<= 1.5
CDG,<= 0.3,No info,0.9 => 1,1 => 1.1,> 1,<= 1,>= 1,>= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.4268389998,0.0,<= 115 ty,<= 0,1000 => 2500,2 ty => 13 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,> 0.2,0.05 => 0.1,0.05 => 0.1,40 ty => 180 ty,4 => 9,5 => 8,0.5 => 0.8,<= 70 ty,<= 50 ty,<= 1.5
HFT,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,>= 1,UPCOM,Dịch vụ tài chính L3,0.0,0.90054,<= 115 ty,> 0.1,250 => 1000,2 ty => 13 ty,<= 0,<= 170 ty,> 0.1,70 ty => 200 ty,<= 8 ty,> 0.2,0.05 => 0.1,0.05 => 0.1,> 750 ty,> 9,> 18,> 1.5,70 ty => 190 ty,> 600 ty,<= 1.5
WTC,<= 0.3,<= 30,<= 0.9,> 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Vận tải L3,0.0,0.0,350 ty => 1150 ty,> 0.1,1000 => 2500,13 ty => 65 ty,> 0.2,<= 170 ty,<= 0,<= 70 ty,8 ty => 36 ty,<= 0.05,> 0.2,> 0.1,40 ty => 180 ty,1 => 4,<= 5,> 1.5,<= 70 ty,<= 50 ty,> 3
HFX,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Bán lẻ L3,0.2692913386,0.0,<= 115 ty,<= 0,<= 250,<= 2 ty,<= 0,<= 170 ty,0 => 0.1,<= 70 ty,<= 8 ty,<= 0.05,0.05 => 0.1,<= 0.01,180 ty => 750 ty,> 9,<= 5,<= 0.5,<= 70 ty,<= 50 ty,<= 1.5
RCL,0.3 => 0.7,30 => 70,0.9 => 1,> 1.1,<= 1,> 1,>= 1,<= 1,<= 1,HNX,Bất động sản L3,0.2000169856,0.1864,<= 115 ty,<= 0,1000 => 2500,2 ty => 13 ty,<= 0,450 ty => 1450 ty,> 0.1,200 ty => 600 ty,8 ty => 36 ty,0.1 => 0.2,<= 0.05,0.01 => 0.05,180 ty => 750 ty,> 9,8 => 18,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,2 => 3
TGP,0.3 => 0.7,30 => 70,<= 0.9,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Điện tử & Thiết bị điện L3,0.0,0.00279,> 1150 ty,<= 0,250 => 1000,2 ty => 13 ty,<= 0,450 ty => 1450 ty,<= 0,70 ty => 200 ty,36 ty => 140 ty,0.05 => 0.1,0.05 => 0.1,<= 0.01,> 750 ty,> 9,<= 5,<= 0.5,70 ty => 190 ty,<= 50 ty,> 3
G20,<= 0.3,<= 30,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Hàng cá nhân L3,0.0,0.0033680556,No info,No info,No info,<= 2 ty,0 => 0.2,170 ty => 450 ty,<= 0,<= 70 ty,<= 8 ty,No info,<= 0.05,<= 0.01,180 ty => 750 ty,<= 1,No info,<= 0.5,<= 70 ty,<= 50 ty,> 3
HFB,> 0.7,> 70,0.9 => 1,> 1.1,<= 1,> 1,>= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.4,0.0,350 ty => 1150 ty,0 => 0.1,1000 => 2500,2 ty => 13 ty,<= 0,170 ty => 450 ty,0 => 0.1,70 ty => 200 ty,8 ty => 36 ty,<= 0.05,0.1 => 0.2,0.01 => 0.05,180 ty => 750 ty,> 9,5 => 8,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,> 3
HFC,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Nước & Khí đốt L3,0.1415107039,0.0,> 1150 ty,> 0.1,250 => 1000,2 ty => 13 ty,0 => 0.2,170 ty => 450 ty,0 => 0.1,<= 70 ty,8 ty => 36 ty,<= 0.05,0.05 => 0.1,0.01 => 0.05,180 ty => 750 ty,> 9,> 18,> 1.5,<= 70 ty,150 ty => 600 ty,> 3
RCC,0.3 => 0.7,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.4803860395,4.52858e-05,350 ty => 1150 ty,<= 0,<= 250,<= 2 ty,<= 0,450 ty => 1450 ty,<= 0,200 ty => 600 ty,<= 8 ty,<= 0.05,<= 0.05,<= 0.01,> 750 ty,<= 1,<= 5,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,> 3
PXM,<= 0.3,<= 30,<= 0.9,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.49,0.0054553333,<= 115 ty,<= 0,<= 250,<= 2 ty,0 => 0.2,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,0.05 => 0.1,<= 0.01,180 ty => 750 ty,<= 1,<= 5,<= 0.5,<= 70 ty,<= 50 ty,<= 1.5
PXC,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Bất động sản L3,0.9555130411,0.0,<= 115 ty,<= 0,<= 250,<= 2 ty,0 => 0.2,170 ty => 450 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,> 0.2,<= 0.01,180 ty => 750 ty,<= 1,<= 5,<= 0.5,<= 70 ty,<= 50 ty,<= 1.5
NS2,0.3 => 0.7,No info,0.9 => 1,> 1.1,> 1,<= 1,>= 1,<= 1,<= 1,UPCOM,Nước & Khí đốt L3,0.9663978873,3.52113e-05,350 ty => 1150 ty,> 0.1,<= 250,2 ty => 13 ty,<= 0,450 ty => 1450 ty,<= 0,200 ty => 600 ty,8 ty => 36 ty,0.05 => 0.1,<= 0.05,0.01 => 0.05,> 750 ty,> 9,> 18,0.8 => 1.5,> 550 ty,> 600 ty,2 => 3
NS3,0.3 => 0.7,<= 30,<= 0.9,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Nước & Khí đốt L3,0.6561,0.0082727273,115 ty => 350 ty,0 => 0.1,> 2500,13 ty => 65 ty,<= 0,170 ty => 450 ty,> 0.1,70 ty => 200 ty,36 ty => 140 ty,> 0.2,0.1 => 0.2,0.05 => 0.1,180 ty => 750 ty,4 => 9,5 => 8,> 1.5,70 ty => 190 ty,50 ty => 150 ty,> 3
VKC,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,>= 1,<= 1,<= 1,HNX,Ô tô và phụ tùng L3,0.0,0.1505,350 ty => 1150 ty,> 0.1,<= 250,2 ty => 13 ty,> 0.2,450 ty => 1450 ty,<= 0,200 ty => 600 ty,36 ty => 140 ty,0.05 => 0.1,<= 0.05,<= 0.01,180 ty => 750 ty,> 9,> 18,<= 0.5,190 ty => 550 ty,50 ty => 150 ty,2 => 3
TTN,> 0.7,30 => 70,<= 0.9,> 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Viễn thông cố định L3,0.567547478,0.0004574229,115 ty => 350 ty,<= 0,1000 => 2500,13 ty => 65 ty,> 0.2,170 ty => 450 ty,> 0.1,200 ty => 600 ty,36 ty => 140 ty,> 0.2,> 0.2,> 0.1,180 ty => 750 ty,4 => 9,<= 5,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,1.5 => 2
MBS,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,>= 1,<= 1,<= 1,HNX,Dịch vụ tài chính L3,0.0,0.0003,350 ty => 1150 ty,<= 0,1000 => 2500,> 65 ty,<= 0,> 1450 ty,> 0.1,> 600 ty,> 140 ty,0.1 => 0.2,0.1 => 0.2,0.01 => 0.05,> 750 ty,> 9,8 => 18,0.8 => 1.5,> 550 ty,> 600 ty,2 => 3
TDP,0.3 => 0.7,30 => 70,0.9 => 1,1 => 1.1,> 1,> 1,>= 1,>= 1,>= 1,UPCOM,Hàng công nghiệp L3,0.0,0.0,350 ty => 1150 ty,> 0.1,1000 => 2500,13 ty => 65 ty,> 0.2,450 ty => 1450 ty,> 0.1,200 ty => 600 ty,36 ty => 140 ty,0.1 => 0.2,0.1 => 0.2,0.01 => 0.05,> 750 ty,> 9,8 => 18,> 1.5,190 ty => 550 ty,> 600 ty,2 => 3
MDN,> 0.7,30 => 70,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Hàng cá nhân L3,0.2570331863,0.0,350 ty => 1150 ty,0 => 0.1,1000 => 2500,13 ty => 65 ty,> 0.2,450 ty => 1450 ty,<= 0,70 ty => 200 ty,36 ty => 140 ty,0.05 => 0.1,0.1 => 0.2,0.05 => 0.1,180 ty => 750 ty,4 => 9,5 => 8,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,2 => 3
MSH,> 0.7,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,>= 1,<= 1,<= 1,HOSE,Hàng cá nhân L3,0.0,0.0827,> 1150 ty,> 0.1,> 2500,> 65 ty,> 0.2,> 1450 ty,<= 0,> 600 ty,> 140 ty,0.1 => 0.2,> 0.2,> 0.1,> 750 ty,4 => 9,5 => 8,> 1.5,> 550 ty,> 600 ty,2 => 3
FOC,> 0.7,30 => 70,0.9 => 1,1 => 1.1,> 1,<= 1,>= 1,<= 1,<= 1,UPCOM,Truyền thông L3,0.0,0.0046188171,350 ty => 1150 ty,> 0.1,> 2500,> 65 ty,<= 0,450 ty => 1450 ty,<= 0,> 600 ty,> 140 ty,> 0.2,> 0.2,> 0.1,> 750 ty,4 => 9,8 => 18,> 1.5,> 550 ty,> 600 ty,<= 1.5
C4G,0.3 => 0.7,30 => 70,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.0,0.001758,> 1150 ty,<= 0,1000 => 2500,> 65 ty,<= 0,> 1450 ty,<= 0,> 600 ty,> 140 ty,0.1 => 0.2,0.1 => 0.2,0.01 => 0.05,> 750 ty,> 9,<= 5,0.5 => 0.8,> 550 ty,> 600 ty,> 3
TTE,> 0.7,30 => 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,>= 1,>= 1,HOSE,Sản xuất & Phân phối Điện L3,0.0,0.0,115 ty => 350 ty,<= 0,250 => 1000,2 ty => 13 ty,<= 0,450 ty => 1450 ty,<= 0,200 ty => 600 ty,36 ty => 140 ty,> 0.2,<= 0.05,0.01 => 0.05,> 750 ty,> 9,> 18,0.8 => 1.5,190 ty => 550 ty,150 ty => 600 ty,> 3
NPM11804,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,0.0,0.0,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info
KBC11806,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,0.0,0.0,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info
VHE,0.3 => 0.7,30 => 70,<= 0.9,1 => 1.1,<= 1,> 1,<= 1,<= 1,<= 1,HNX,Dược phẩm L3,0.0,0.0,115 ty => 350 ty,<= 0,250 => 1000,2 ty => 13 ty,> 0.2,<= 170 ty,> 0.1,70 ty => 200 ty,8 ty => 36 ty,0.05 => 0.1,0.05 => 0.1,0.01 => 0.05,40 ty => 180 ty,> 9,8 => 18,0.8 => 1.5,70 ty => 190 ty,50 ty => 150 ty,1.5 => 2
SZC,> 0.7,30 => 70,<= 0.9,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,HOSE,Bất động sản L3,0.4404,0.0006,115 ty => 350 ty,> 0.1,250 => 1000,> 65 ty,> 0.2,> 1450 ty,> 0.1,> 600 ty,> 140 ty,> 0.2,0.05 => 0.1,0.01 => 0.05,> 750 ty,> 9,> 18,> 1.5,> 550 ty,> 600 ty,2 => 3
PBT,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,>= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.1119694784,0.0,350 ty => 1150 ty,<= 0,250 => 1000,13 ty => 65 ty,0 => 0.2,170 ty => 450 ty,<= 0,70 ty => 200 ty,8 ty => 36 ty,0.05 => 0.1,0.05 => 0.1,0.05 => 0.1,180 ty => 750 ty,4 => 9,8 => 18,0.8 => 1.5,70 ty => 190 ty,150 ty => 600 ty,<= 1.5
TLI,> 0.7,> 70,0.9 => 1,> 1.1,> 1,> 1,>= 1,>= 1,<= 1,UPCOM,Hàng cá nhân L3,0.0,0.0,115 ty => 350 ty,0 => 0.1,250 => 1000,<= 2 ty,<= 0,<= 170 ty,<= 0,<= 70 ty,<= 8 ty,<= 0.05,<= 0.05,0.01 => 0.05,40 ty => 180 ty,> 9,8 => 18,<= 0.5,<= 70 ty,<= 50 ty,1.5 => 2
SHE,<= 0.3,30 => 70,0.9 => 1,1 => 1.1,<= 1,> 1,>= 1,<= 1,>= 1,HNX,Hàng gia dụng L3,0.0,0.0218,115 ty => 350 ty,0 => 0.1,> 2500,13 ty => 65 ty,> 0.2,<= 170 ty,> 0.1,<= 70 ty,8 ty => 36 ty,0.05 => 0.1,> 0.2,> 0.1,40 ty => 180 ty,4 => 9,<= 5,0.8 => 1.5,<= 70 ty,50 ty => 150 ty,<= 1.5
TOW,> 0.7,No info,<= 0.9,> 1.1,> 1,<= 1,>= 1,>= 1,>= 1,UPCOM,Nước & Khí đốt L3,0.0,0.0,<= 115 ty,> 0.1,> 2500,13 ty => 65 ty,> 0.2,<= 170 ty,> 0.1,70 ty => 200 ty,8 ty => 36 ty,> 0.2,0.1 => 0.2,> 0.1,40 ty => 180 ty,1 => 4,<= 5,0.5 => 0.8,70 ty => 190 ty,50 ty => 150 ty,<= 1.5
USD,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.3888455357,0.0,<= 115 ty,<= 0,1000 => 2500,2 ty => 13 ty,<= 0,170 ty => 450 ty,> 0.1,<= 70 ty,8 ty => 36 ty,0.1 => 0.2,0.1 => 0.2,0.01 => 0.05,180 ty => 750 ty,> 9,8 => 18,0.8 => 1.5,<= 70 ty,50 ty => 150 ty,> 3
MSR11808,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,0.0,0.0,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info
BOT,0.3 => 0.7,30 => 70,<= 0.9,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Xây dựng và Vật liệu L3,0.0,0.0,No info,No info,No info,No info,No info,> 1450 ty,0 => 0.1,200 ty => 600 ty,No info,No info,<= 0.05,<= 0.01,> 750 ty,No info,No info,<= 0.5,190 ty => 550 ty,<= 50 ty,> 3
TAR,> 0.7,30 => 70,<= 0.9,1 => 1.1,> 1,> 1,<= 1,<= 1,<= 1,HNX,Sản xuất thực phẩm L3,0.0,0.0,> 1150 ty,<= 0,1000 => 2500,13 ty => 65 ty,> 0.2,450 ty => 1450 ty,0 => 0.1,200 ty => 600 ty,36 ty => 140 ty,0.05 => 0.1,0.05 => 0.1,0.01 => 0.05,> 750 ty,> 9,> 18,> 1.5,190 ty => 550 ty,> 600 ty,2 => 3
BLU,<= 0.3,No info,0.9 => 1,<= 1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Tư vấn & Hỗ trợ Kinh doanh L3,0.6253221289,0.1153221289,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,No info,<= 50 ty,No info
PHN,> 0.7,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,>= 1,HNX,Điện tử & Thiết bị điện L3,0.0199110521,0.3,115 ty => 350 ty,<= 0,> 2500,13 ty => 65 ty,> 0.2,<= 170 ty,0 => 0.1,70 ty => 200 ty,8 ty => 36 ty,0.05 => 0.1,0.1 => 0.2,> 0.1,180 ty => 750 ty,4 => 9,8 => 18,> 1.5,70 ty => 190 ty,150 ty => 600 ty,<= 1.5
MFS,0.3 => 0.7,30 => 70,0.9 => 1,1 => 1.1,<= 1,<= 1,<= 1,<= 1,<= 1,UPCOM,Viễn thông di động L3,0.0,0.0540395207,350 ty => 1150 ty,<= 0,> 2500,13 ty => 65 ty,0 => 0.2,170 ty => 450 ty,<= 0,70 ty => 200 ty,36 ty => 140 ty,0.1 => 0.2,0.1 => 0.2,> 0.1,180 ty => 750 ty,1 => 4,5 => 8,0.8 => 1.5,70 ty => 190 ty,150 ty => 600 ty,1.5 => 2
